TitleName	TitleId	SpeicalGraphic	FaceId	AuraSkill	AuraSkillLevel	ExtSkill1	ExtSkillLevel1	ExtSkill2	ExtSkillLevel2	ExtSkill3	ExtSkillLevel3	ExtSkill4	ExtSkillLevel4	ExtSkill5	ExtSkillLevel5	Memo	TitlePriority
士兵	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
校尉	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0		
统领	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0		
副将	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0		
大将	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0		
元帅	6	43	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会总领队	7	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会十大高手	8	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会少林高手	9	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会天王高手	10	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会唐门高手	11	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会五毒高手	12	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会峨嵋高手	13	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会翠烟高手	14	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会丐帮高手	15	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
武林大会天忍高手	16	83	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会武当高手	17	83	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会昆仑高手	18	83	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会选手	19	82	0	0	0	0	0	0	0	0	0	0	0	0	0
少林新秀	20	81	0	0	0	0	0	0	0	0	0	0	0	0	0
天王新秀	21	81	0	0	0	0	0	0	0	0	0	0	0	0	0
唐门新秀	22	81	0	0	0	0	0	0	0	0	0	0	0	0	0
五毒新秀	23	81	0	0	0	0	0	0	0	0	0	0	0	0	0
峨嵋新秀	24	81	0	0	0	0	0	0	0	0	0	0	0	0	0
翠烟新秀	25	81	0	0	0	0	0	0	0	0	0	0	0	0	0
丐帮新秀	26	81	0	0	0	0	0	0	0	0	0	0	0	0	0
天忍新秀	27	81	0	0	0	0	0	0	0	0	0	0	0	0	0
武当新秀	28	81	0	0	0	0	0	0	0	0	0	0	0	0	0
昆仑新秀	29	81	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会战地记者	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会工作人员	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会总决赛少林冠军	32	84	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会总决赛天王冠军	33	84	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会总决赛唐门冠军	34	84	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会总决赛五毒冠军	35	84	0	0	0	0	0	0	0	0	0	0	0	0	0
武林大会总决赛峨嵋冠军	36	84	0	0	0	0	0	0	0	0	0	0	0	0	0
