TaskID	TaskName	EventID	TaskType	CanCancel	TaskText
任务ID	任务名称	归属事件ID	所属的事件类型	可以取消	任务的简要描述
101	随机_对话_翠烟何暮雪	3	随机_对话	0	给翠烟门的何暮雪送一朵玫瑰花的任务
102	随机_对话_襄阳药店老板	3	随机_对话	0	给襄阳药店老板带 10 个五花玉露丸的任务
103	随机_对话_襄阳衙门卫兵	3	随机_对话	0	给襄阳的衙门卫兵传话任务
104	随机_对话_成都铁匠学徒	3	随机_对话	0	给成都铁匠学徒送烟花的任务
105	随机_对话_成都辛二婶	3	随机_对话	0	给成都辛二婶送 3 个首乌还神丹的任务
106	随机_对话_扬州驿站驿官	3	随机_对话	0	帮助扬州驿官传话的任务
107	随机_对话_扬州驿站驿官_01	3	随机_对话	0	帮助扬州驿官传话的任务
108	随机_对话_扬州沈风	3	随机_对话	0	帮助扬州沈风传话的任务
109	随机_对话_扬州沈风_01	3	随机_对话	0	帮助扬州沈风传话的任务

201	随机_收集_长命丸	3	随机_收集	0	带两个长命丸给临安的城门卫兵的任务
202	随机_收集_加跑丸	3	随机_收集	0	带两个加跑丸给临安的城门卫兵的任务
203	随机_收集_大力丸	3	随机_收集	0	带一个大力丸给临安的城门卫兵的任务
204	随机_收集_高闪丸	3	随机_收集	0	带两个高闪丸给临安的城门卫兵的任务
205	随机_收集_高中丸	3	随机_收集	0	带两个高中丸给临安的城门卫兵的任务
206	随机_收集_飞速丸	3	随机_收集	0	带一个飞速丸给临安的城门卫兵的任务
207	随机_收集_冰防丸	3	随机_收集	0	带两个冰防丸给临安的城门卫兵的任务
208	随机_收集_雷防丸	3	随机_收集	0	带两个雷防丸给临安的城门卫兵的任务
209	随机_收集_火防丸	3	随机_收集	0	带两个火防丸给临安的城门卫兵的任务
210	随机_收集_毒防丸	3	随机_收集	0	带两个毒防丸给临安的城门卫兵的任务
211	随机_收集_玄铁原矿	3	随机_收集	0	带三个玄铁原矿给成都铁匠的任务
212	随机_收集_孔雀原石	3	随机_收集	0	带两个孔雀原石给成都铁匠的任务
213	随机_收集_秘银原矿	3	随机_收集	0	带三个秘银原矿给成都铁匠的任务
214	随机_收集_芙蓉原石	3	随机_收集	0	带两个芙蓉原石给成都铁匠的任务
215	随机_收集_朱砂原矿	3	随机_收集	0	带三个朱砂原矿给成都铁匠的任务
216	随机_收集_钟乳原石	3	随机_收集	0	带两个钟乳原石给成都铁匠的任务
217	随机_收集_金90杀手锏	3	随机_收集	0	收集金属性90级杀手锏给襄阳聂弑尘的任务
218	随机_收集_木90杀手锏	3	随机_收集	0	收集木属性90级杀手锏给襄阳聂弑尘的任务
219	随机_收集_水90杀手锏	3	随机_收集	0	收集水属性90级杀手锏给襄阳聂弑尘的任务
220	随机_收集_火90杀手锏	3	随机_收集	0	收集火属性90级杀手锏给襄阳聂弑尘的任务
221	随机_收集_土90杀手锏	3	随机_收集	0	收集土属性90级杀手锏给襄阳聂弑尘的任务
222	随机_收集_烟花	3	随机_收集	0	收集 5 个烟花给成都铁匠学徒的任务
223	随机_收集_披风	3	随机_收集	0	收集 2 个披风给大理武林盟传人的任务
224	随机_收集_心心	3	随机_收集	0	收集 1 个心心相映符给江津村月下老人的任务
225	随机_收集_天山玉露	3	随机_收集	0	收集 1 个天山玉露给龙门药店老板的任务
226	随机_收集_百果露	3	随机_收集	0	收集 1 个百果露给临安药店老板的任务
227	随机_收集_小福缘	3	随机_收集	0	收集 1 个小福缘露给汴京礼官的任务
228	随机_收集_大福缘	3	随机_收集	0	收集 1 个大福缘露给汴京礼官的任务

229	随机_收集_一级玄晶	3	随机_收集	0	收集 10 个一级玄晶给凤翔铁匠的任务
230	随机_收集_二级玄晶	3	随机_收集	0	收集 5 个二级玄晶给凤翔铁匠的任务
231	随机_收集_三级玄晶	3	随机_收集	0	收集 2 个三级玄晶给凤翔铁匠的任务
232	随机_收集_四级玄晶	3	随机_收集		收集 1 个四级玄晶给凤翔铁匠的任务

301	随机_杀怪_莫高走石	3	随机_杀怪	0	去莫高窟杀死 24 个走石的任务
302	随机_杀怪_莫高飞沙	3	随机_杀怪	0	去莫高窟杀死 24 个飞沙的任务
303	随机_杀怪_莫高漠贼	3	随机_杀怪	0	去莫高窟杀死 24 个漠贼的任务
304	随机_杀怪_莫高沙盗	3	随机_杀怪	0	去莫高窟杀死 24 个沙盗的任务
305	随机_杀怪_长白北刀斩	3	随机_杀怪	0	去长白山北麓杀死 24 个刀斩的任务
306	随机_杀怪_长白北落光	3	随机_杀怪	0	去长白山北麓杀死 24 个落光的任务
307	随机_杀怪_长白北寒枪	3	随机_杀怪	0	去长白山北麓杀死 24 个寒枪的任务
308	随机_杀怪_长白北夺魄	3	随机_杀怪	0	去长白山北麓杀死 24 个夺魄的任务
309	随机_杀怪_长白南铲舞	3	随机_杀怪	0	去长白山南麓杀死 24 个铲舞的任务
310	随机_杀怪_长白南降锤	3	随机_杀怪	0	去长白山南麓杀死 24 个降锤的任务
